"","MA","SES","Arima","Structural","NN","Best Method","Worst Method","MLL Method","Minimum Accuracy","Maximum Accuracy","Average Accuracy"
"90",35.78,36.38,24.24,38.43,35.6,3,4,3,24.24,38.43,34.09
"91",30.13,29.65,31.87,29.89,32.3,2,5,1,29.65,32.3,30.77
"92",33.09,33.92,26.02,32.4,34.54,3,5,3,26.02,34.54,32
"93",23.16,22.82,20.52,27.2,25.96,3,4,3,20.52,27.2,23.93
"94",31.01,30.43,30.56,30.56,30.28,5,1,5,30.28,31.01,30.57
"95",22.6,22.95,21.8,22.47,24.24,3,5,5,21.8,24.24,22.81
"96",30.97,30.59,19.15,31.06,29.16,3,4,3,19.15,31.06,28.19
"97",32.32,36.22,36.56,31.32,32.02,4,3,1,31.32,36.56,33.69
"98",36.46,34.15,27.88,34.29,34.71,3,1,3,27.88,36.46,33.5
"99",26.67,27.23,25.03,26.19,27.73,3,5,3,25.03,27.73,26.57
"100",30.76,30.83,21.6,30.89,29.88,3,4,3,21.6,30.89,28.79
"101",17.86,21.22,21.75,19.11,18.64,1,3,1,17.86,21.75,19.71
"102",45.6,45.84,36.32,45.81,42.37,3,2,3,36.32,45.84,43.19
"103",22.58,26.51,27.95,24.58,28.54,1,5,5,22.58,28.54,26.03
"104",35.86,37.91,19.14,37.94,32.6,3,4,3,19.14,37.94,32.69
"105",30.15,29.68,23.82,30.01,30.21,3,5,3,23.82,30.21,28.77
"106",33.06,32.98,33.74,34,29.76,5,4,1,29.76,34,32.71
"107",46.24,46.14,35.7,46.29,44.89,3,4,3,35.7,46.29,43.85
"108",32.69,40.09,25.57,32.23,34.76,3,2,3,25.57,40.09,33.07
"109",32.34,33.2,31.54,32.36,30.41,5,2,5,30.41,33.2,31.97
"110",36.73,40.95,44.8,33.54,38.65,4,3,2,33.54,44.8,38.93
"111",35.38,34.3,18.48,34.85,34,3,1,3,18.48,35.38,31.4
